МКОУ СОШ № 4,село Новомихайловское,Красногвардейский,2611005983,1022602823055
МКОУ СОШ № 3 им.В.Н.Дроздова,поселок Коммунар,Красногвардейский,2611006105,1022602822978
МКОУ СОШ № 2,село Ладовская Балка,Красногвардейский,2611006024,1022602823033
МКОУ СОШ № 1 им. Г.С. Фатеева,село Красногвардейское,Красногвардейский,2611006200,1022602823077
МКОУ СОШ № 7,село Преградное,Красногвардейский,2611006169,1022602823110
"МКОУ ""Гимназия № 1""",село Красногвардейское,Красногвардейский,2611006151,1022602821350
МКОУ ООШ № 13,поселок Штурм,Красногвардейский,2611005870,1022602822758
МКОУ СОШ № 12,село Красногвардейское,Красногвардейский,2611006056,1022602822780
МКОУ СОШ № 11,село Красногвардейское,Красногвардейский,2611006031,1022602823066
МКОУ СОШ № 10,село Покровское,Красногвардейский,2611006095,1022602822769
МКОУ СОШ № 9,село Родыки,Красногвардейский,2611006137,1022602822989
МБОУ Лицей № 4 г. Георгиевска,Георгиевск,Георгиевский,2625011916,1022601167820
МБОУ СОШ № 6,Пятигорск,Пятигорск,2632042094,1022601620953
МКУ ЦХТО ИР СК,Ипатово,Ипатовский,2608800029,1102651002926
МБОУ СОШ № 8 имени И.В. Орехова,поселок Новый Янкуль,Андроповский ,2603008910,1022603623943
МКОУ СОШ № 5,село Водораздел,Андроповский ,2603008483,1022603623900
МКОУ ООШ № 6,поселок Каскадный,Андроповский ,2603008807,1022603623547
МБОУ СОШ №2,станица Воровсколесская,Андроповский ,2603008839,1022603625593
МКОУ СОШ № 9,село  Султан,Андроповский ,2603008596,1022603625626
Дума города Будённовска,Буденновск,Буденновский,2624020259,1022603225590
МБОУ СОШ № 1 им. П.М. Стратийчука,село  Курсавка,Андроповский ,2603008780,1022603630708
МКОУ СОШ № 12,село  Куршава,Андроповский ,2603008613,1022603623481
МКОУ СОШ № 10,село Крымгиреевское,Андроповский ,2603008645,1022603627430
МКОУ СОШ № 4 село  Петропавловское,село  Петропавловское,Арзгирский,2604004393,1022603225963
МБОУ СОШ № 3 село  Арзгир,село Арзгир,Арзгирский,2604002646,1022603229550
Финансовое управление ,Новоалександровск,Новоалександровский,2615016390,1172651026899
"НО ""Краевой фонд содействия инновационному развитию""",Михайловск,Шпаковский,2623804187,1142651029432
"МКУ ""МЦБ"" НГО СК",Нефтекумск,Нефтекумский,2614021359,1162651073166
Финансовое управление ,Нефтекумск,Нефтекумский,2614021550,1172651028131
МБОУ СОШ № 1 село  Арзгир,село Арзгир,Арзгирский,2604002597,1022603229593
"МКУ ""ХЭГ""",Буденновск,Буденновский,2624800770,1112651035859
"ГБУСО ""Кисловодский КЦСОН""",Кисловодск,Кисловодск,2628043384,1032600543194
"ГКУ ""Невинномысское лесничество""",Невинномысск,Невинномысск,2631033080,1082648000137
Финансовое управление ,село Степное,Степновский,2620005309,1042600398972
"ГКУ ""ЦЗН Петровского района""",Светлоград,Петровский,2617010348,1022600939426
"ГКОУ ""Специальная (коррекционная) общеобразовательная школа-интернат №17""",Светлоград,Петровский,2617008148,1022600936643
"ГКУ ""Детский дом (смешанный) № 25""",Светлоград,Петровский,2617009624,1022600936775
Комитет по физической культуре и спорту администрации Новоалександровского городского округа,Новоалександровск,Новоалександровский,2615016418,1172651026976
"ГУП СК ""Корпорация развития Ставропольского края""",Михайловск,Шпаковский,2634088104,1092635015956
"МБУ ""Центр развития личности""",Невинномысск,Невинномысск,2631802320,1122651005289
МКОУ СОШ № 3 с углубленным изучением отдельных предметов,Нефтекумск,Нефтекумский,2614015620,1022600872678
Территориальный отдел г. Новоалександровска администрации Новоалександровского городского округа,Новоалександровск,Новоалександровский,2615016351,1172651025392
Отдел образования АИГОСК,Изобильный,Изобильненский,2607022560,1172651028241
Администрация Винсадского с/с,село Винсады,Предгорный ,2618010990,1022600963098
"Муниципальное бюджетное учреждение ""Спортивная школа"" Предгорного района",станица Ессентукская,Предгорный ,2618010728,1022600964430
МБОУ гимназия №25 г. Ставрополя,Ставрополь,Ставрополь,2634026108,1022601976154
"МКУ ИГОСК ""Спорткомплекс ""Юность""",Изобильный,Изобильненский,2607800467,1112651034220
"ГБУЗ СК ""ССМП"" г. Ставрополя",Ставрополь,Ставрополь,2633002827,1022601992291
